#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1674031010    32      484    46759       10191359      0   3 484.0 46759.0 10191359.0 81530872.0 679.5 680.3 
1674031011    64      968    93249       20324058      0   6 484.0 46490.0 10132699.0 81061592.0 779.3 780.1 
1674031012    96     1382   133985       29202926      0  10 414.0 40736.0 8878868.0 71030944.0 1715.5 1716.4 
1674031013    96     1838   179504       39124105      0  10 455.5 45473.5 9911267.7 79290141.9 2112.8 2113.6 
1674031014    96     2300   225336       49113487      0  10 462.0 45832.0 9989382.0 79915056.0 2091.1 2091.9 
1674031015    96     2761   271427       59159238      0  10 461.0 46091.0 10045751.0 80366008.0 2080.9 2081.8 
1674031016    96     3163   311984       67999086      0  10 402.0 40557.0 8839848.0 70718784.0 2363.8 2364.8 
1674031017    96     3620   357457       77910159      0  10 456.5 45427.6 9901171.8 79209374.6 2109.5 2110.3 
1674031018    96     4077   402640       87758059      0  10 457.0 45183.0 9847900.0 78783200.0 2122.1 2122.9 
1674031019    96     4492   444687       96922597      0  10 415.0 42047.0 9164538.0 73316304.0 2270.0 2270.8 
1674031020    96     4905   485571      105833638      0  10 413.0 40884.0 8911041.0 71288328.0 2357.6 2358.4 
1674031021    96     5345   530001      115517389      0  10 439.6 44385.6 9674076.9 77392615.4 2159.6 2160.5 
1674031022   128     5797   573168      124926004      0  13 452.0 43167.0 9408615.0 75268920.0 2409.5 2410.3 
1674031023   160     6179   610456      133054086      0  16 382.0 37288.0 8128082.0 65024656.0 3692.8 3693.7 
1674031024   192     6590   650173      141711392      0  20 411.0 39717.0 8657306.0 69258448.0 4327.0 4328.1 
1674031025   192     6879   677946      147765349      0  20 288.7 27745.3 6047909.1 48383272.7 6891.9 6917.0 
1674031026   192     7285   718907      156693783      0  20 406.0 40961.0 8928434.0 71427472.0 4681.1 4681.9 
1674031027   192     7657   755841      164744842      0  20 371.6 36897.1 8043016.0 64344127.9 5198.4 5199.3 
1674031028   192     8006   790273      172251110      0  20 349.0 34432.0 7506268.0 60050144.0 5574.4 5575.2 
