#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1675741808   512      512  2339757      510183439      0  50 0.0 44374.0 9682586.0 77460688.0 11541.8 11541.8 
1675741809   512      512  2384893      520032523      0  50 0.0 45090.9 9839244.8 78713958.0 11347.4 11347.4 
1675741810   512      512  2424329      528641365      0  50 0.0 39436.0 8608842.0 68870736.0 12962.5 12962.5 
1675741811   512      512  2467136      537983333      0  50 0.0 42807.0 9341968.0 74735744.0 11972.3 11972.3 
1675741812   512      512  2512164      547808768      0  50 0.0 45028.0 9825435.0 78603480.0 11367.7 11367.7 
1675741813   512      512  2557282      557654560      0  50 0.0 45072.9 9835956.0 78687648.4 11357.6 11357.6 
1675741814   512      512  2596558      566227674      0  50 0.0 39276.0 8573114.0 68584912.0 13020.3 13020.3 
1675741815   512      512  2638355      575350426      0  50 0.0 41797.0 9122752.0 72982016.0 12263.2 12263.2 
1675741816   544      544  2683068      585107376      0  53 32.0 44713.0 9756950.0 78055600.0 11484.9 11484.9 
1675741817   576      576  2727467      594797117      0  56 32.0 44354.6 9680060.9 77440487.5 12352.2 12352.2 
1675741818   608      608  2765806      603167770      0  60 32.0 38339.0 8370653.0 66965224.0 15156.7 15156.7 
1675741819   608      608  2804660      611649647      0  60 0.0 38854.0 8481877.0 67855016.0 15634.8 15634.8 
1675741820   608      608  2839703      619303785      0  60 0.0 35043.0 7654138.0 61233104.0 17364.4 17364.4 
1675741821   608      608  2881447      628416044      0  60 0.0 41702.3 9103155.8 72825246.8 14580.4 14580.4 
1675741822   608      608  2924108      637727653      0  60 0.0 42661.0 9311609.0 74492872.0 14250.0 14250.0 
1675741823   608      608  2966512      646983615      0  60 0.0 42404.0 9255962.0 74047696.0 14324.7 14324.7 
1675741824   608      608  3004324      655243330      0  60 0.0 37812.0 8259715.0 66077720.0 16083.4 16083.4 
1675741825   608      608  3047928      664763510      0  60 0.0 43560.4 9510669.3 76085354.6 13955.9 13955.9 
1675741826   608      608  3091846      674352232      0  60 0.0 43918.0 9588722.0 76709776.0 13844.9 13844.9 
1675741827   608      608  3135949      683979972      0  60 0.0 44103.0 9627740.0 77021920.0 13782.0 13782.0 
