#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
32 288 389 5286377 1152563811 0 30 0.0 164788.2 35934359.6 287474877.1 1741.7 1741.7
33 288 389 5436781 1185361913 0 30 0.0 150404.0 32798102.0 262384816.0 1923.3 1923.3
34 288 389 5588594 1218467366 0 30 0.0 151813.0 33105453.0 264843624.0 1896.5 1896.5
35 288 389 5747893 1253204650 0 30 0.0 159299.0 34737284.0 277898272.0 1809.7 1809.7
36 320 421 5910165 1288591005 0 33 32.0 162272.0 35386355.0 283090840.0 1895.9 1895.9
37 352 453 6079909 1325607975 0 36 32.0 169574.4 36979990.0 295839920.1 2009.2 2009.2
38 384 486 6247474 1362150783 0 40 33.0 167565.0 36542808.0 292342464.0 2243.8 2243.8
39 384 487 6398022 1394982247 0 40 1.0 150548.0 32831464.0 262651712.0 2530.9 2530.9
40 384 488 6440182 1404248114 0 40 1.0 42117.9 9256610.4 74052883.1 8652.5 8652.5
41 384 488 6443549 1405076288 0 40 0.0 3367.0 828174.0 6625392.0 108398.8 108398.8
42 384 489 6446002 1405708351 0 40 1.0 2450.5 631431.6 5051452.5 151014.8 151014.8
43 384 489 6448347 1406316669 0 40 0.0 2345.0 608318.0 4866544.0 164265.8 164265.8
44 384 489 6450130 1406801908 0 40 0.0 1781.2 484754.2 3878034.0 210599.2 210599.2
45 384 489 6451792 1407260582 0 40 0.0 1660.3 458215.8 3665726.3 226661.3 226661.3
46 384 489 6453291 1407683479 0 40 0.0 1499.0 422897.0 3383176.0 260684.8 260684.8
47 384 489 6454606 1408065943 0 40 0.0 1315.0 382464.0 3059712.0 288657.0 288657.0
48 416 521 6455768 1408412055 0 43 32.0 1160.8 345766.2 2766129.9 326810.2 326810.2
49 448 554 6456861 1408744803 0 46 33.0 1091.9 332415.6 2659324.7 395258.3 395258.3
50 495 601 6457920 1409074551 0 50 47.0 1059.0 329748.0 2637984.0 430649.9 430649.9
51 512 618 6458921 1409387955 0 50 17.0 1001.0 313404.0 2507232.0 497583.5 497583.5
52 512 618 6459905 1409697619 0 50 0.0 983.0 309354.6 2474837.2 521348.2 521348.2
53 512 618 6460880 1410005303 0 50 0.0 975.0 307684.0 2461472.0 512934.1 512934.1
54 512 618 6461864 1410314967 0 50 0.0 983.0 309354.6 2474837.2 523349.0 523349.0
55 512 618 6462831 1410620891 0 50 0.0 967.0 305924.0 2447392.0 530984.5 530984.5
56 512 618 6463792 1410925495 0 50 0.0 959.1 303996.0 2431968.1 526895.0 526895.0
57 512 618 6464782 1411240063 0 50 0.0 990.0 314568.0 2516544.0 523891.6 523891.6
58 512 618 6465738 1411543567 0 50 0.0 956.0 303504.0 2428032.0 528816.0 528816.0
59 512 618 6466686 1411845535 0 50 0.0 947.1 301666.3 2413330.7 533084.9 533084.9
60 542 648 6467645 1412152607 0 53 30.0 959.0 307072.0 2456576.0 547849.3 547849.3
61 576 682 6588029 1438427166 0 56 34.0 120384.0 26274559.0 210196472.0 5808.4 5808.4
62 608 714 6639182 1449658753 0 60 32.0 51101.9 11220366.6 89762933.1 9710.2 9710.2
