#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
62 608 20900 2057976 448770997 0 60 296.7 28757.2 6276498.5 50211988.0 20039.8 20040.6
63 608 21200 2088166 455364248 0 60 300.0 30190.0 6593251.0 52746008.0 20299.9 20300.8
64 608 21552 2125415 463492613 0 60 352.0 37249.0 8128365.0 65026920.0 16321.4 16322.2
65 608 21931 2163260 471750918 0 60 379.0 37845.0 8258305.0 66066440.0 16050.4 16051.2
66 608 22303 2198165 479369807 0 60 371.6 34870.1 7611277.7 60890221.8 17311.6 17312.7
67 608 22641 2233477 487077020 0 60 338.0 35312.0 7707213.0 61657704.0 17325.9 17326.9
68 608 23022 2271559 495385307 0 60 381.0 38082.0 8308287.0 66466296.0 15957.2 15957.9
69 607 23404 2309168 503591465 0 60 382.0 37609.0 8206158.0 65649264.0 16141.9 16142.8
70 608 23733 2342277 510821217 0 60 328.7 33075.9 7222529.5 57780235.8 18379.9 18380.9
71 608 24103 2379428 518927621 0 60 370.0 37151.0 8106404.0 64851232.0 16375.0 16375.8
72 640 24503 2417074 527142244 0 63 400.0 37646.0 8214623.0 65716984.0 16357.3 16358.1
73 672 24880 2454379 535284305 0 66 377.0 37305.0 8142061.0 65136488.0 17391.3 17392.1
74 704 25239 2486775 542362521 0 70 359.0 32396.0 7078216.0 56625728.0 21106.2 21107.2
75 704 25590 2523619 550409511 0 70 350.6 36807.2 8038951.0 64311608.4 19103.2 19104.2
76 704 25978 2560767 558522519 0 70 388.0 37148.0 8113008.0 64904064.0 18942.6 18943.5
77 704 26330 2598132 566682524 0 70 352.0 37365.0 8160005.0 65280040.0 18828.5 18829.4
78 704 26673 2630847 573832706 0 70 343.0 32715.0 7150182.0 57201456.0 21536.5 21537.4
79 704 27027 2668265 582003313 0 70 353.6 37380.6 8162444.6 65299556.4 18815.9 18816.7
80 704 27414 2705432 590121761 0 70 387.0 37167.0 8118448.0 64947584.0 18948.7 18949.5
81 704 27766 2741308 597959293 0 70 352.0 35876.0 7837532.0 62700256.0 19545.9 19546.7
82 704 28048 2768219 603838639 0 70 282.0 26911.0 5879346.0 47034768.0 26207.0 26208.1
83 704 28058 2769444 604106379 0 70 10.0 1225.0 267740.0 2141920.0 288576.3 288577.0
84 736 28307 2792873 609226920 0 73 249.0 23429.0 5120541.0 40964328.0 45605.4 45606.2
85 767 28661 2826762 616634980 0 76 353.6 33855.1 7400659.3 59205274.7 22191.3 22192.1
